Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
1,Писюкова,Женский,1974,2013,5,Охраник,42900,89
2,Писюкова,Женский,1982,2019,2,Админ сервера,21600,16
3,Иванова,Женский,1971,2014,1,Админ сервера,35000,50
4,Иванов,Мужской,1980,2006,3,Захвоз,38800,88
5,Иванова,Женский,1977,2010,3,Захвоз,41000,100
6,Писюкова,Женский,1982,2019,5,Захвоз,21500,5
7,Гоблинова,Женский,1975,2014,2,Начальник бани,40500,95
8,Гоблинов,Мужской,1984,2011,4,Админ сервера,39300,63
9,Писюк,Мужской,1976,2002,4,Охраник,39100,91
10,Терентьева,Женский,1973,2008,4,Начальник бани,40900,99
11,Терентьева,Женский,1990,2022,4,Захвоз,23400,24
12,Бебров,Мужской,1983,2009,1,Админ сервера,35300,53
13,Бебров,Мужской,1986,2014,4,Охраник,39700,97
14,Иванов,Мужской,1985,2017,2,IT-поддержка,37700,97
15,Терентьев,Мужской,1985,2019,5,Охраник,21100,1
16,Писюк,Мужской,1977,2021,1,Админ сервера,23100,1
17,Иванова,Женский,1976,2007,3,Охраник,39600,66
18,Терентьев,Мужской,1983,2020,2,IT-поддержка,21500,5
19,Писюкова,Женский,1975,2015,5,Админ сервера,21500,90
20,Писюкова,Женский,1971,2001,3,Охраник,40600,86
21,Гоблинова,Женский,1987,2020,5,Охраник,24800,18
22,Терентьева,Женский,1982,2004,3,Админ сервера,37300,63
23,Иванов,Мужской,1976,2011,5,Охраник,42000,90
24,Писюк,Мужской,1973,2011,3,Начальник бани,38100,41
25,Гоблинов,Мужской,1976,2012,4,Начальник бани,35100,31
26,Гоблинов,Мужской,1983,2021,2,Админ сервера,22700,7
27,Писюкова,Женский,1973,2022,5,IT-поддержка,23900,29
28,Бебров,Мужской,1987,2013,4,Начальник бани,36400,44
29,Писюк,Мужской,1977,2020,1,IT-поддержка,21100,1
30,Терентьев,Мужской,1978,2006,2,Админ сервера,39400,64
31,Иванов,Мужской,1979,2022,5,Админ сервера,26100,21
32,Бебров,Мужской,1989,2017,3,IT-поддержка,30100,21
33,Иванова,Женский,1976,2013,4,Охраник,39500,95
34,Писюк,Мужской,1989,2010,2,IT-поддержка,36500,55
35,Беброва,Женский,1988,2022,5,Начальник бани,25300,13
36,Писюкова,Женский,1981,2021,3,Начальник бани,24000,10
37,Иванова,Женский,1987,2015,1,Охраник,24000,37
38,Терентьева,Женский,1971,2014,1,Захвоз,39800,58
39,Писюк,Мужской,1989,2014,2,Админ сервера,40600,96
40,Терентьев,Мужской,1976,1995,4,Захвоз,37700,57
41,Гоблинова,Женский,1990,2013,2,Охраник,38200,42
42,Иванова,Женский,1978,2016,5,IT-поддержка,29800,48
43,Гоблинов,Мужской,1972,2006,1,Админ сервера,39100,61
44,Терентьев,Мужской,1984,2019,2,Захвоз,21300,3
45,Гоблинов,Мужской,1990,2017,1,Админ сервера,27300,3
46,Иванова,Женский,1983,2012,5,Охраник,42900,99
47,Писюк,Мужской,1985,2007,3,IT-поддержка,35000,40
48,Иванов,Мужской,1985,2018,4,IT-поддержка,20800,8
49,Писюкова,Женский,1973,1998,5,Захвоз,38800,68
50,Иванов,Мужской,1987,2018,3,Начальник бани,21800,8
51,Гоблинова,Женский,1970,2015,3,Охраник,21800,30
52,Терентьев,Мужской,1980,2019,2,Захвоз,24400,4
53,Гоблинова,Женский,1973,2003,2,Охраник,37500,75
54,Писюкова,Женский,1990,2022,2,Охраник,20600,6
55,Гоблинов,Мужской,1970,2022,3,Начальник бани,22400,24
56,Терентьев,Мужской,1971,1997,3,Охраник,37800,68
57,Терентьев,Мужской,1982,2005,5,Админ сервера,40600,66
58,Иванова,Женский,1974,2018,1,Охраник,21400,14
59,Терентьев,Мужской,1980,2021,3,Админ сервера,23300,13
60,Иванова,Женский,1972,2013,2,Захвоз,36700,37
61,Иванова,Женский,1972,2002,1,IT-поддержка,35400,34
62,Иванов,Мужской,1975,2021,1,Начальник бани,24700,17
63,Иванова,Женский,1989,2013,3,Охраник,39600,76
64,Гоблинов,Мужской,1982,2017,4,Админ сервера,33600,76
65,Беброва,Женский,1978,2019,2,Захвоз,21600,16
66,Иванова,Женский,1981,2012,5,Начальник бани,41000,80
67,Иванова,Женский,1970,1991,1,IT-поддержка,37500,45
68,Терентьев,Мужской,1980,2018,4,Начальник бани,21700,17
69,Писюкова,Женский,1983,2014,5,Охраник,39000,80
70,Бебров,Мужской,1972,2021,2,Захвоз,22700,7
71,Терентьева,Женский,1983,2019,2,Охраник,24300,13
72,Гоблинова,Женский,1985,2020,5,Админ сервера,24600,16
73,Гоблинова,Женский,1971,2001,1,Админ сервера,37900,69
74,Гоблинова,Женский,1989,2022,5,Захвоз,25200,12
75,Терентьева,Женский,1974,2022,2,Начальник бани,22400,14
76,Иванов,Мужской,1987,2018,3,Админ сервера,24000,20
77,Писюк,Мужской,1976,2015,1,Захвоз,24000,65
78,Писюкова,Женский,1986,2009,1,Админ сервера,39200,62
79,Иванов,Мужской,1988,2019,3,Охраник,23500,5
80,Терентьева,Женский,1975,2005,5,Админ сервера,34800,48
81,Терентьева,Женский,1979,2021,5,Начальник бани,22500,25
82,Беброва,Женский,1983,2015,2,Захвоз,22500,39
83,Бебров,Мужской,1985,2021,3,Начальник бани,24100,11
84,Беброва,Женский,1976,2017,3,IT-поддержка,27100,11
85,Иванова,Женский,1989,2022,2,Охраник,22100,11
86,Беброва,Женский,1989,2020,2,Админ сервера,24400,14
87,Терентьев,Мужской,1971,2022,1,IT-поддержка,26000,20
88,Бебров,Мужской,1990,2022,2,Начальник бани,25500,15
89,Терентьева,Женский,1982,2018,1,Начальник бани,23800,28
90,Писюкова,Женский,1989,2012,1,IT-поддержка,34500,45
91,Писюкова,Женский,1970,2006,2,Админ сервера,37600,46
92,Терентьева,Женский,1989,2019,1,IT-поддержка,24000,30
93,Беброва,Женский,1970,1995,5,Захвоз,42100,81
94,Писюк,Мужской,1976,2005,2,IT-поддержка,39100,91
95,Гоблинова,Женский,1977,2008,3,Захвоз,37500,75
96,Гоблинов,Мужской,1983,2021,3,Охраник,24600,26
97,Терентьев,Мужской,1972,2020,1,Охраник,24600,6
98,Гоблинов,Мужской,1974,2003,4,Начальник бани,33300,33
99,Терентьева,Женский,1977,2013,3,Охраник,42000,100
100,Иванов,Мужской,1970,2019,5,Захвоз,23800,18
101,Иванова,Женский,1973,2022,4,Охраник,22600,16
102,Иванова,Женский,1970,2006,3,Захвоз,34900,39
103,Беброва,Женский,1981,2022,1,IT-поддержка,21800,8
104,Иванова,Женский,1976,2010,2,Начальник бани,36200,52
105,Терентьев,Мужской,1979,2007,2,Охраник,39700,77
106,Беброва,Женский,1976,2022,1,Админ сервера,23800,8
107,Терентьев,Мужской,1974,1999,4,IT-поддержка,35100,51
108,Иванова,Женский,1977,2014,1,IT-поддержка,36200,52
109,Бебров,Мужской,1986,2006,1,Начальник бани,40100,71
110,Писюкова,Женский,1985,2019,1,IT-поддержка,21700,17
111,Иванов,Мужской,1989,2021,1,Охраник,21900,19
112,Иванова,Женский,1976,2019,5,IT-поддержка,23400,24
113,Терентьев,Мужской,1975,1996,4,Захвоз,38000,50
114,Иванов,Мужской,1978,2021,3,Админ сервера,21200,2
115,Беброва,Женский,1979,2020,1,Охраник,25400,24
116,Терентьева,Женский,1983,2015,5,Охраник,25400,41
117,Бебров,Мужской,1988,2019,4,Охраник,22800,8
118,Иванова,Женский,1984,2004,3,Захвоз,41100,91
119,Иванов,Мужской,1971,2012,2,Админ сервера,35600,46
120,Писюкова,Женский,1990,2017,3,Охраник,31600,46
121,Иванов,Мужской,1985,2018,2,Захвоз,26600,26
122,Писюк,Мужской,1981,2018,1,Охраник,22700,17
123,Гоблинова,Женский,1971,2013,4,Захвоз,42900,99
124,Гоблинов,Мужской,1979,2007,4,Захвоз,39800,98
125,Писюкова,Женский,1987,2018,1,Охраник,24900,29
126,Гоблинова,Женский,1985,2022,5,Админ сервера,21400,14
127,Гоблинова,Женский,1990,2018,4,Начальник бани,25900,19
128,Гоблинова,Женский,1988,2021,3,Захвоз,26700,27
129,Иванов,Мужской,1979,2017,4,Админ сервера,29700,27
130,Гоблинов,Мужской,1974,2013,4,Охраник,40100,71
131,Писюкова,Женский,1985,2016,2,IT-поддержка,32200,32
132,Гоблинова,Женский,1970,2011,3,Охраник,36100,61
133,Бебров,Мужской,1988,2019,5,Охраник,25600,26
134,Беброва,Женский,1981,2020,3,Захвоз,23600,26
135,Писюкова,Женский,1976,2008,5,IT-поддержка,38100,41
136,Иванов,Мужской,1987,2022,3,IT-поддержка,23500,5
137,Иванов,Мужской,1986,2009,4,Захвоз,42200,92
138,Бебров,Мужской,1974,1994,3,Захвоз,41400,94
139,Терентьева,Женский,1981,2022,1,IT-поддержка,23700,17
140,Иванов,Мужской,1978,2001,5,Захвоз,34500,45
141,Писюк,Мужской,1984,2018,3,Охраник,23600,26
142,Беброва,Женский,1985,2019,2,Админ сервера,27000,30
143,Иванова,Женский,1987,2018,3,Захвоз,24400,14
144,Писюкова,Женский,1980,2015,3,Захвоз,24400,95
145,Иванов,Мужской,1984,2017,4,Начальник бани,38500,95
146,Иванов,Мужской,1974,2012,1,Захвоз,39700,97
147,Иванова,Женский,1970,1998,4,IT-поддержка,40900,99
148,Беброва,Женский,1970,2014,2,Охраник,35300,33
